====================================================================================================
STEADY STATE: mean nonRefundableStorageFee (MIST burned) per op

--- place_top ---
depth            A           B         C16        C16u         D32         D64        D64u
    5      191,976     238,564     209,760     209,760     209,760     209,760     209,760
   10      227,696     286,444     251,560     251,560     251,560     251,560     251,560
   15      263,416     334,324     293,360     293,360     293,360     293,360     293,360
   20      299,136     315,324     299,440     299,440     335,160     335,160     335,160
   30      370,576     344,204     311,600     311,600     418,760     418,760     418,760
   45      477,736     354,084     329,840     329,840     422,712     544,160     544,160
   60      584,896     363,964     348,080     348,080     426,664     669,560     669,560
  100      815,936     303,164     287,280     287,280     654,056     394,440     394,440
  150    1,173,212     380,684     348,080     348,080     462,384     562,400     562,400
  200    1,475,692     500,232     299,440     299,440     406,600     620,920     620,920
  250    1,832,892     359,404     360,240     360,240     460,256     538,840     538,840
  299    2,128,228     317,908     303,240     303,240     396,112     589,000     589,000

CONSTRUCTION: cumulative burned fee to depth 300
  A        347,629,928 (300 placements)
  B        107,982,472 (300 placements)
  C16      106,507,692 (300 placements)
  C16u     106,507,692 (300 placements)
  D32      118,839,528 (300 placements)
  D64      159,968,448 (300 placements)
  D64u     159,968,448 (300 placements)

MIGRATION CLIFF (construction max marginal burn)
  A     max  2,128,228 at depth 299
  B     max    592,648 at depth 264
  C16   max    691,752 at depth 256
  C16u  max    691,752 at depth 256
  D32   max    784,776 at depth 168
  D64   max    991,040 at depth 239
  D64u  max    991,040 at depth 239

====================================================================================================
VWATC: cost per executed trade = taker_1 + 5x(place_top+cancel_top), burned fee
depth            A           B         C16        C16u         D32         D64        D64u
    0            -           -           -           -           -           -           -
    5    2,225,660   2,750,288   2,451,304   2,371,124   2,451,304   2,451,304   2,420,220
   10    2,700,407   3,276,968   2,880,020   2,880,020   2,880,020   2,880,020   2,880,020
   15    3,011,500   3,885,475   3,339,820   3,339,820   3,339,820   3,339,820   3,339,820
   20    3,404,420   3,569,568   3,495,671   3,413,844   3,799,620   3,799,620   3,799,620
   30    4,190,260   3,912,328   3,547,604   3,547,604   4,726,364   4,726,364   4,726,364
   45    5,369,020   4,021,008   3,748,244   3,748,244   4,762,692   6,105,764   6,105,764
   60    6,547,780   4,129,688   3,948,884   4,030,711   4,813,308   7,485,164   7,485,164
  100    9,575,620   4,433,688   4,252,884   4,252,884   4,864,177   5,431,644   5,431,644
  150   13,201,656   4,678,408   4,313,684   4,313,684   5,571,028   6,671,204   6,753,031
  300   23,967,816   4,458,008   4,359,031   4,277,204   5,291,652   7,420,564   7,420,564

WEIGHTED COMPOSITES (burned fee per executed trade)
weighting                        A           B         C16        C16u         D32         D64        D64u
transaction-weighted     2,988,025   3,193,951   2,869,899   2,824,653   3,018,587   3,132,079   3,117,109
revenue-weighted        11,297,941   4,188,991   3,932,983   3,914,461   4,778,057   5,928,522   5,945,706
future-shifted          13,350,843   4,325,890   4,095,435   4,075,011   4,986,472   6,319,649   6,339,484

TOTAL TRADER COST (computation + burned fee) per executed trade,
with a 10% share of trades executing as 30-order sweeps:
depth              A             B           C16          C16u           D32           D64          D64u
    0              -             -             -             -             -             -             -
    5     21,075,660    22,040,288    21,741,304    21,661,124    21,741,304    21,751,304    21,710,220
   10     21,550,407    22,576,968    22,170,020    22,170,020    22,170,020    22,170,020    22,170,020
   15     21,871,500    23,185,475    22,629,820    22,629,820    22,629,820    22,629,820    22,629,820
   20     22,264,420    22,919,568    22,785,671    22,703,844    23,089,620    23,089,620    23,089,620
   30     23,237,203    23,476,548    22,968,170    22,955,360    24,208,307    24,208,307    24,208,307
   45     24,516,963    23,637,514    23,291,260    23,261,440    24,308,402    25,600,707    25,600,707
   60     25,882,723    23,775,519    23,580,895    23,616,396    24,410,303    27,102,107    27,102,107
  100     29,490,914    24,286,253    23,985,629    23,882,304    24,867,059    25,267,496    25,074,410
  150     33,562,599    24,426,285    23,963,828    23,894,088    25,254,067    26,278,147    26,368,974
  300     51,827,759    24,182,311    23,972,513    23,840,362    24,985,244    27,003,507    27,003,507

weighting                          A             B           C16          C16u           D32           D64          D64u
transaction-weighted      21,916,569    22,532,507    22,188,776    22,139,397    22,343,086    22,457,919    22,436,082
revenue-weighted          32,725,881    23,823,497    23,484,565    23,421,275    24,382,521    25,473,012    25,474,234
future-shifted            35,515,194    24,012,954    23,692,308    23,617,088    24,655,824    25,911,384    25,904,307

CEILING (A): [
 {
  "phase": "ceiling",
  "failed_at": 2970,
  "batch": 50,
  "err": "ptb error: Error executing transaction '3dRsbM1X9L4nohaq7E1yPtVANzB8nZyn2K6xVxEmr2j8': MoveObjectTooBig { object_size: 260039, max_object_size: 256000 }\n"
 },
 {
  "phase": "ceiling",
  "failed_single_at": 2973,
  "err": "ptb error: Error executing transaction 'DrzDCg4bLSKT25RnrNveG1Qprw65ik5pf1pSrq8o6EUd': MoveObjectTooBig { object_size: 256083, max_object_size: 256000 }\n"
 }
]
